access,accessno,accruals,acqvalue,admin,appnotes,appraisal,appraisor,archivist,archnotes,area,associate,authorx,caption,catby,catdate,cattype,classes,collection,conddate,condexam,condition,condnotes,containtxt,copies,creator,credit,curvalmax,curvalue,custodial,dataset,date,dateaccum,datecreate,descdate,descrip,dispdate,dispositn,dispvalue,earlydate,edition,elongitude,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,extent,findaid,flagdate,flagnotes,flagreason,genre,gparent,group,homeloc,imagefile,imageno,inscomp,insdate,insets,insphone,inspremium,insrep,instrument,insvalue,interviewr,intvdate,intvlength,intvplace,intvrest,invnby,invndate,label,language,latdeg,latedate,legal,level,link,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,media,medium,mlanguage,narrator,narratorid,nlatitude,notes,objectid,objname,objname2,objname3,objnames,oldno,originals,otherno,parent,people,physchar,pmeridian,policyno,projection,pubdate,publisher,pubnotes,pubplace,quantity,recas,recdate,recfrom,refcode,related,relnotes,reviewed,rights,rules,scale,series,sheets,signedform,site,siteno,sitesadded,size,slatitude,status,statusby,statusdate,sterms,subjects,system,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,transcribr,transdate,transloc,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,wlongitude
,,,0,,,,,,,,,,,,  -   -,,,,  -   -,,,,,,,,0,0,,,,,,,,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,,,,,0,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,  -   -,,,,,,0,0.0,,Default Record,,,,,,,,,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,0.0,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,  -   -  : :,,  -   -,False,,
,,,0,,,,,,,,,,DSP Timeline,,2022-09-29 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,,,,,A timeline of Dinosaur State Park from 1966 to 1970 with information on rock formations/layers,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220026.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,,,,0,,,DP2022.0026,DSP Timeline,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:36:53.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Touring America,,2022-10-01 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,June 1994,,,,"Dinosaur edition of a travel magazine that includes information about Dinosaur State Park on page 42 in an article titled ""Dino Directory""",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220032.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-01 00:00:00,,,,,,0,,,DP2022.0032,Touring America Magazine,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Touring America,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-01 10:57:59.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Report on CT Valley Dinosaurs,,2022-10-01 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,10/2/1970,,,,A paper on the dinosaurs that lived in the Connecticut valley during the Triassic period.,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220033.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-01 00:00:00,,,,,,0,,,DP2022.0033,Report on CT Valley Dinosaurs,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Final Report to the Connecticut Research Commission on A Study of the Upper Triassic Dinosaurs of the Connecticut Valley,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-01 11:03:55.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Info for DSP Guides,,2022-10-01 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,,,,,"A helpful guide for educators at DSP, includes information about the geology and dinosaurs in the area, as well as information about the different time periods/evolution",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220034.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-01 00:00:00,,,,,,0,,,DP2022.0034,Basic Info for Guides at DSP,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,"Basic Information for Guides at Dinosaur State Park, Rocky Hill, Conn.",,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-01 11:10:35.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,DSP Woody Plants,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,,,,,Accession numbers and Latin names for woody plants at Dinosaur State Park,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet-Park Plants and Wildlife,004\DP20220041.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0041,DSP Woody Plants,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Dinosaur State Park Accession Numbers- Woody Plants,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 14:15:53.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Butterflies of DSP,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,June 1997,,,,"A list of butterflies that live in Dinosaur State Park, how common they are (common, uncommon, vagrant, abundant, locally uncommon, locally common), and what time of year each species is active in the park. This list includes both Latin and common names.",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet-Park Plants and Wildlife folder,004\DP20220042.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0042,Butterflies of DSP,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Butterflies of Dinosaur State Park Checklist,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 14:21:09,Unknown,  -   -,False,,
,,,0,,,,,,,,,,CT State Park Observer,Rachel Burns,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,Spring 2001,,,,"A magazine published by the Friends of Connecticut State Parks that includes information about Dinosaur State Park, including the history of the park and a letter urging people to advocate for more funding for the park, citing that the state has not give",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20020043.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2002.0043,CT State Park Observer,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Connecticut State Park Observer,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 14:43:20.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,DSP 50th Anniversary Publication,Rachel Burns,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,"August 11, 2016",,,,"A special publication published by the Hartford Courant honoring the 50th anniversary of the discovery of the tracks at Dinosaur State Park. Includes a history of the park, special events, photos, and the original article about the track discovery publis",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220044.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0044,DSP Courant Publication,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Dinosaur State Park Celebrating 50 Years of Discovery!,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 14:52:36.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,"Southington, CT ""Great Unconformity""",,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,"January 5, 1989",,,,"An article describing ""The Great Conformity"" in Southington, a place where brownstone and metamorphic schist meet; it is one of only 2 places like this in the state of Connecticut.",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220045.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0045,Great Unconformity Article,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Unearthing State Secrets,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:00:01.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Triassic Reptile Discovery Article,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,"November 10, 1996",,,,"An article published in The Hartford Courant describing the discovery of a Triassic reptile fossil skull discovered in Cheshire, CT.",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220046.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0046,Cheshire Fossil Discovery,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Fossil of Triassic Reptile Unearthed in Cheshire,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:13:31.999000,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Yale Dino Exhibit,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,"June 25, 1993",,,,"An article about a exhibit at Yale Peabody Museum with animatronic dinosaurs on display. The exhibit is called ""Dinosaur Visions: Science and Fiction in Jurassic Park""; the models are meant to show what the dinosaurs in the movie actually looked like (or",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220047-2.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0047,Yale Dino Exhibit,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,"""'Dinosaur Visions' Offers New Perspective on 'Jurassic Park'""",,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:25:17,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Friends of DSP Envelope,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,"October 21, 1989",,,,Envelope used by the friends for donations promoting stamp collecting. Also includes dinosaur stamps.,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220048-1.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0048,Friends Envelope,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:34:50,Unknown,  -   -,False,,
,,,0,,,,,,,,,,Triassic Crocodile Article,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,11/10/1996,,,,"A New York Times article about the discovery of the small galloping crocodilian in Cheshire, CT.",  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220049.TIF,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0049,Galloping Crocodile Article,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,Constructing a Galloping Crocodile after a Mere 200 Million Years,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:41:00,Unknown,  -   -,False,,
,,,0,,,,,,,,,,French Dino Magazine,,2022-10-04 00:00:00,Archive,,,  -   -,,,,,,,,0,0,,,1993,,,,A Canadian magazine about dinosaurs written in French that has an article about Dinosaur State Park on the back.,  -   -,,,0,,,,0,,,,,  -   -,,,  -   -  : :,,,,10: Unclassifiable Artifacts,,Archival file cabinet drawer,004\DP20220050.JPG,1,,  -   -,,,,,,0,,  -   -,,,,,  -   -,,,0,0,,,,,  -   -,,0,,,,,,,0,,2022-10-04 00:00:00,,,,,,0,,,DP2022.0050,French Dino Magazine,,,,,,,Need to Classify,,,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,,,,  -   -,,,,,,  -   -,,,,,L'Affaire Dinosaures,,,,,,,,  -   -,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-04 15:46:00.999000,Unknown,  -   -,False,,
